Date,Product,Category,Sales,Units_Sold,Revenue,Region,Customer_Satisfaction
2023-12-01,Product A,Beverages,1150,78,89700,North,4.3
2023-12-02,Product B,Snacks,920,60,55200,South,4.0
2023-12-03,Product C,Dairy,1320,110,145200,East,4.5
2023-12-04,Product D,Beverages,1050,70,73500,West,4.1
2023-12-05,Product E,Snacks,820,55,45100,North,3.9
2023-12-06,Product A,Beverages,1280,85,108800,South,4.4
2023-12-07,Product B,Snacks,980,65,63700,East,4.2
2023-12-08,Product C,Dairy,1420,118,167560,West,4.6
2023-12-09,Product D,Beverages,1120,75,84000,North,4.3
2023-12-10,Product E,Snacks,870,57,49590,South,4.0
2023-12-11,Product A,Beverages,1320,88,116160,East,4.5
2023-12-12,Product B,Snacks,1000,67,67000,West,4.1
2023-12-13,Product C,Dairy,1480,125,185000,North,4.7
2023-12-14,Product D,Beverages,1080,72,77760,South,4.2
2023-12-15,Product E,Snacks,850,56,47600,East,3.9
2023-12-16,Product A,Beverages,1250,83,103750,West,4.3
2023-12-17,Product B,Snacks,950,63,59850,North,4.1
2023-12-18,Product C,Dairy,1390,115,159850,South,4.5
2023-12-19,Product D,Beverages,1040,69,71760,East,4.2
2023-12-20,Product E,Snacks,890,58,51620,West,4.0
2023-12-21,Product A,Beverages,1300,86,111800,North,4.4
2023-12-22,Product B,Snacks,970,64,62080,South,4.1
2023-12-23,Product C,Dairy,1450,120,174000,East,4.6
2023-12-24,Product D,Beverages,1100,73,80300,West,4.3
2023-12-25,Product E,Snacks,870,57,49590,North,3.9
2023-12-26,Product A,Beverages,1270,84,106680,South,4.4
2023-12-27,Product B,Snacks,960,64,61440,East,4.2
2023-12-28,Product C,Dairy,1410,117,165000,West,4.6
2023-12-29,Product D,Beverages,1070,71,75970,North,4.2
2023-12-30,Product E,Snacks,880,58,51040,South,4.0
